cmpid, context, order, belong, p, op, condition, is_desirable, offsets, state
1562922732, 828754, 65537, 0, 65535, 32771, 2, c, 0, true, , Offset
3190150811, 537650, 65537, 0, 65535, 32771, 2, c, 1, true, , Offset
762865291, 706385, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
2288608249, 706385, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
2675955822, 651544, 65537, 0, 65535, 32771, 2, 8, ffffffffffffffff, true, , Offset
250340659, 706385, 65537, 0, 65535, 32771, 2, 8, 8, true, , Offset
250334356, 706385, 1, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 1, 0, 65535, 32770, 2, 0, 0, true, , Offset
2676007764, 682920, 65537, 0, 65535, 32771, 2, 0, 8, true, , Offset
250334356, 706385, 2, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 2, 0, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 3, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 3, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 4, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 4, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 5, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 5, 0, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 6, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 6, 0, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 7, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 7, 0, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 8, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 8, 0, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 9, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 9, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 10, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 10, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 11, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 11, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 12, 143, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 12, 143, 65535, 32770, 2, 0, 0, true, , Offset
250334356, 706385, 13, 0, 65535, 32770, 2, 0, 0, true, , Offset
250306108, 706385, 13, 0, 65535, 32770, 2, 0, 0, true, , Offset
762865291, 848649, 65537, 0, 65535, 32771, 2, c, 40, true, , Offset
2675955822, 235166, 65537, 0, 65535, 32771, 2, c, ffffffffffffffff, true, , Offset
2523180961, 848649, 65537, 0, 65535, 32771, 2, c, 40, true, , Offset
2676007764, 810992, 65538, 0, 65535, 32771, 2, 0, c, true, , Offset
762865291, 848649, 65538, 0, 65535, 32771, 2, c, 34, true, , Offset
2523070972, 848649, 65537, 0, 65535, 32771, 2, c, 34, true, , Offset
762865291, 848649, 65541, 0, 65535, 32771, 2, 6, 6, true, , Offset
2288608249, 848649, 65537, 0, 65535, 32771, 2, 6, 6, true, , Offset
2675955822, 576517, 65537, 0, 65535, 32771, 2, 6, ffffffffffffffff, true, , Offset
3709771751, 848649, 65537, 0, 65535, 32771, 2, 6, 6, true, , Offset
3709746968, 848649, 1, 0, 65535, 32, 2, 6c6c6568, ffff0000, true, , Offset
2676007764, 641308, 65537, 0, 65535, 32771, 2, 0, 6, true, , Offset
762865291, 848649, 65542, 0, 65535, 32771, 2, c, 80, true, , Offset
3709716674, 848649, 65537, 0, 65535, 32771, 2, c, 80, true, , Offset
1616583721, 848649, 65537, 0, 65535, 32771, 2, 6, 6, true, , Offset
1616558938, 848649, 1, 0, 65535, 32, 2, 6c6c6568, ffff0000, true, , Offset
1616528644, 848649, 65537, 0, 65535, 32771, 2, c, 80, true, , Offset
762865291, 848649, 65551, 149, 65535, 32771, 2, 4, 4, true, , Offset
2288608249, 848649, 65539, 0, 65535, 32771, 2, 4, 4, true, , Offset
2675955822, 791570, 65537, 170, 65535, 32771, 2, 4, ffffffffffffffff, true, , Offset
1163194977, 848649, 65537, 0, 65535, 32771, 2, 4, 4, true, , Offset
1163154783, 848649, 1, 0, 65535, 32, 2, 68, 53, true, , OneByte
2676007764, 810992, 65550, 170, 65535, 32771, 2, 0, 4, true, , Offset
762865291, 848649, 65552, 0, 65535, 32771, 2, 2, 2, true, , Offset
2288608249, 848649, 65540, 194, 65535, 32771, 2, 6, 6, true, , Offset
2675955822, 38741, 65537, 570, 65535, 32771, 2, 2, ffffffffffffffff, true, , Offset
1163196132, 848649, 65537, 570, 65535, 32771, 2, 2, 2, true, , Offset
1163155938, 848649, 1, 0, 65535, 32, 2, 68, 24, true, , OneByte
2676007764, 810992, 65551, 170, 65535, 32771, 2, 0, 2, true, , Offset
1754411791, 848649, 65537, 170, 65535, 32771, 2, 4, 4, true, , Offset
1754371597, 848649, 1, 0, 65535, 32, 2, 68, 25, true, , OneByte
2288608249, 848649, 65542, 0, 65535, 32771, 2, 9, 9, true, , Offset
2675955822, 851352, 65537, 0, 65535, 32771, 2, 9, ffffffffffffffff, true, , Offset
2435315760, 848649, 65537, 0, 65535, 32771, 2, 9, 9, true, , Offset
2435278965, 848649, 1, 0, 65535, 32, 2, 68, 3a, true, , OneByte
3274533909, 141617, 65537, 0, 65535, 32771, 2, c, 40, true, , Offset
3274203942, 141617, 65537, 0, 65535, 32771, 2, c, 34, true, , Offset
762865291, 438053, 65537, 2, 65535, 32771, 2, 4, 10, true, , Offset
2675955822, 262438, 65537, 2, 65535, 32771, 2, 4, ffffffffffffffff, true, , Offset
250317724, 438053, 65537, 2, 65535, 32771, 2, 4, 0, true, , Offset
250317790, 438053, 65537, 2, 65535, 32771, 2, 4, 10, true, , Offset
2676007764, 810992, 65537, 2, 65535, 32771, 2, 0, c, true, , Offset
2676007764, 810992, 65549, 2, 65535, 32771, 2, 0, 4, true, , Offset
2676007764, 810992, 65552, 2, 65535, 32771, 2, 0, 9, true, , Offset
762865291, 848649, 65549, 3, 65535, 32771, 2, 1, 4, true, , Offset
