Strategy,TOTAL,ConcolicStrategy,LengthTaintStrategy,RandomTaintStrategy,GradientDescentStrategy,RandomStrategy,MagicByteStrategy,OneByteStrategy
0-9%,14,14.29,0.00,21.43,28.57,28.57,28.57,28.57
10-19%,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20-29%,6,33.33,0.00,0.00,33.33,0.00,33.33,33.33
30-39%,11,54.55,9.09,27.27,36.36,54.55,36.36,36.36
40-49%,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50-59%,183,15.85,12.02,6.01,15.30,50.82,11.48,1.64
60-69%,218,35.32,8.72,27.06,34.40,46.79,27.52,14.68
70-79%,37,54.05,2.70,32.43,51.35,48.65,45.95,16.22
80-89%,31,29.03,0.00,16.13,22.58,80.65,22.58,3.23
90-100%,10,60.00,0.00,50.00,50.00,30.00,50.00,40.00
