Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
GradientDescentStrategy,1834300834_441853_0_32,1834300834,0,0,135,NOT_FLIPPED,5.07354736328125e-05,0,-,-,-,-,135,143,0,0,5
GradientDescentStrategy,3072984623_726465_1_32771,3072984623,0,0,126,NOT_FLIPPED,4.2819976806640624e-05,0,-,-,-,-,126,183,0,0,5
GradientDescentStrategy,3229184935_14671_1_32,3229184935,0,0,139,NOT_FLIPPED,4.739761352539063e-05,0,3,36,9,0,139,173,0,0,5
GradientDescentStrategy,1903821462_930920_0_32771,1903821462,0,0,130,NOT_FLIPPED,4.3344497680664065e-05,0,37,512,14,0,130,139,0,0,5
GradientDescentStrategy,1416559362_582185_1_38,1416559362,0,15,136,FLIPPED_CONDITION,0.0335545539855957,2,246,2690,17,0,136,139,1,4,5
GradientDescentStrategy,1834228663_520974_1_32,1834228663,0,0,131,NOT_FLIPPED,4.5680999755859374e-05,0,-,-,-,-,131,139,0,0,5
GradientDescentStrategy,1834228663_1037775_1_32771,1834228663,0,0,132,NOT_FLIPPED,4.510879516601562e-05,0,-,-,-,-,132,139,0,0,5
GradientDescentStrategy,611337383_520974_0_32,611337383,0,0,125,NOT_FLIPPED,4.7206878662109375e-05,0,-,-,-,-,125,139,0,0,5
GradientDescentStrategy,3229184935_571544_1_32771,3229184935,0,0,136,NOT_FLIPPED,5.221366882324219e-05,0,3,36,9,0,136,139,0,0,5
GradientDescentStrategy,1834228663_441853_1_32771,1834228663,0,0,132,NOT_FLIPPED,5.1069259643554685e-05,0,-,-,-,-,132,139,0,0,5
GradientDescentStrategy,1903845618_726465_1_32771,1903845618,0,0,124,NOT_FLIPPED,5.469322204589844e-05,0,6,78,5,0,124,159,0,0,5
GradientDescentStrategy,3229184935_365515_0_32771,3229184935,0,0,1,NOT_FLIPPED,4.53948974609375e-05,0,3,36,9,0,1,5,0,0,5
GradientDescentStrategy,1903864725_123636_0_32,1903864725,0,3,149,FLIPPED_CONDITION,0.01688971519470215,1,7,45,3,0,149,204,1,1,5
GradientDescentStrategy,3071765735_726465_0_32771,3071765735,0,0,126,NOT_FLIPPED,4.520416259765625e-05,0,-,-,-,-,126,204,0,0,5
GradientDescentStrategy,1097652389_286295_1_38,1097652389,0,2582,134,MAXIMUM_EXECUTION_TIME_REACHED,15.003668308258057,1,4,39,8,0,134,183,0,4,5
GradientDescentStrategy,1903851492_539393_1_32771,1903851492,0,0,71,NOT_FLIPPED,4.582405090332031e-05,0,12,153,19,0,71,74,0,0,5
GradientDescentStrategy,1416604209_582185_1_38,1416604209,0,3,218,FLIPPED_CONDITION,0.026328468322753908,1,-,-,-,-,218,219,1,2,5
GradientDescentStrategy,1903848753_539393_1_32771,1903848753,0,0,135,NOT_FLIPPED,4.7588348388671874e-05,0,12,153,19,0,135,138,0,0,5
GradientDescentStrategy,1097652389_582185_0_38,1097652389,0,1,148,FLIPPED_CONDITION,0.0017430305480957032,2,4,39,8,0,148,152,1,18,5
GradientDescentStrategy,1903831527_582185_0_32,1903831527,0,0,134,NOT_FLIPPED,4.5299530029296875e-05,0,246,2690,32,0,134,173,0,0,5
GradientDescentStrategy,1903821429_441853_1_32771,1903821429,0,0,128,NOT_FLIPPED,3.643035888671875e-05,0,37,512,11,0,128,136,0,0,5
GradientDescentStrategy,1903846377_582185_1_288,1903846377,6068,6290,167,MAXIMUM_EXECUTION_TIME_REACHED,15.001089906692505,1,246,2690,34,0,167,189,0,3,5
GradientDescentStrategy,3229184935_621290_1_32,3229184935,0,0,171,NOT_FLIPPED,3.938674926757812e-05,0,3,36,9,0,171,189,0,0,5
GradientDescentStrategy,1903830900_582185_1_32,1903830900,0,0,184,NOT_FLIPPED,3.4809112548828125e-05,0,246,2690,5,0,184,190,0,0,5
GradientDescentStrategy,1903845618_245655_0_32771,1903845618,0,0,124,NOT_FLIPPED,3.6668777465820315e-05,0,6,78,5,0,124,182,0,0,5
GradientDescentStrategy,4204124642_726465_0_34,4204124642,0,1,127,FLIPPED_CONDITION,0.0017773628234863282,2,18,138,14,0,127,138,1,2,5
GradientDescentStrategy,1903828491_582185_0_32,1903828491,0,0,123,NOT_FLIPPED,3.619194030761719e-05,0,246,2690,5,0,123,151,0,0,5
