Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
ConcolicStrategy,151,12,11,337,0,0
LengthTaintStrategy,43,346,0,122,0,0
RandomTaintStrategy,98,334,0,0,79,0
GradientDescentStrategy,144,334,6,5,22,0
random,1,0,0,0,0,0
fill_in_0,7,0,0,0,0,0
RandomStrategy,251,0,0,0,260,0
MagicByteStrategy,120,334,11,46,0,0
fill_in_True,17,0,0,0,0,0
encoding_ascii_False,2,0,0,0,0,0
arithmatic_1_False,31,0,0,0,0,0
arithmatic_-1_False,3,0,0,0,0,0
fill_in_False,66,0,0,0,0,0
zero_False,1,0,0,0,0,0
OneByteStrategy,56,432,0,23,0,0
Angora,390,0,0,0,0,0
