Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
GradientDescentStrategy;1903864725_123636_0_32;1903864725;0;3;149;FLIPPED_CONDITION;0.00022482872009277344;1;7;45;3;0
GradientDescentStrategy;1903821528_520974_0_32771;1903821528;0;0;138;NOT_FLIPPED;2.3126602172851562e-05;0;37;512;26;0
GradientDescentStrategy;4249747288_582185_0_40;4249747288;0;1;151;FLIPPED_CONDITION;0.00022530555725097656;2;246;2690;27;0
GradientDescentStrategy;1416604209_582185_1_38;1416604209;0;3;218;FLIPPED_CONDITION;0.0002384185791015625;1;-;-;-;-
GradientDescentStrategy;3229184935_539393_1_32;3229184935;0;0;186;NOT_FLIPPED;1.7642974853515625e-05;0;3;36;9;0
GradientDescentStrategy;1903851228_539393_0_32;1903851228;0;0;58;NOT_FLIPPED;2.384185791015625e-05;0;12;153;19;0
GradientDescentStrategy;1903857795_726465_0_34;1903857795;0;1;127;FLIPPED_CONDITION;0.00011348724365234375;2;6;78;14;0
GradientDescentStrategy;3229184935_98302_1_32771;3229184935;0;0;136;NOT_FLIPPED;1.5735626220703125e-05;0;3;36;9;0
GradientDescentStrategy;3229184935_365515_0_32771;3229184935;0;0;1;NOT_FLIPPED;1.6450881958007812e-05;0;3;36;9;0
GradientDescentStrategy;1903834101_520974_0_288;1903834101;0;15;138;FLIPPED_CONDITION;0.0017523765563964844;2;37;512;21;0
GradientDescentStrategy;1903831527_582185_0_32;1903831527;0;0;134;NOT_FLIPPED;2.384185791015625e-05;0;246;2690;32;0
GradientDescentStrategy;1903825323_1037775_1_32771;1903825323;0;0;152;NOT_FLIPPED;2.6464462280273438e-05;0;37;512;39;0
GradientDescentStrategy;3229184935_96188_1_32;3229184935;0;0;136;NOT_FLIPPED;2.5272369384765625e-05;0;3;36;9;0
GradientDescentStrategy;1903829184_582185_0_32771;1903829184;0;0;129;NOT_FLIPPED;2.2172927856445312e-05;0;246;2690;18;0
GradientDescentStrategy;1903829217_582185_0_32771;1903829217;0;0;131;NOT_FLIPPED;2.5033950805664062e-05;0;246;2690;18;0
GradientDescentStrategy;1416601239_726465_0_36;1416601239;0;1;157;FLIPPED_CONDITION;0.00017905235290527344;2;14;206;20;0
GradientDescentStrategy;1903821495_520974_0_32;1903821495;0;0;133;NOT_FLIPPED;2.5510787963867188e-05;0;37;512;20;0
