Strategy,Total,GradientDescentStrategy,RandomStrategy,LengthTaintStrategy,RandomTaintStrategy,MagicByteStrategy,OneByteStrategy,ConcolicStrategy
0,1967,0.00,20.89,2.14,0.00,0.00,0.00,6.15
1,1921,47.94,31.55,0.00,44.51,46.85,40.08,42.79
2,430,9.53,5.81,0.00,3.72,3.49,0.00,8.60
3,145,1.38,2.76,0.00,0.69,1.38,0.00,2.07
4,41,34.15,21.95,0.00,29.27,34.15,0.00,39.02
5,15,13.33,0.00,0.00,0.00,6.67,0.00,0.00
6,4,25.00,25.00,0.00,0.00,25.00,0.00,0.00
8,2,100.00,50.00,0.00,100.00,100.00,0.00,0.00
9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,25,32.00,12.00,0.00,12.00,8.00,0.00,28.00
17,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
509,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
