Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,474416722_684756_0_32771,474416722,0,0,341,NOT_FLIPPED,5.750656127929687e-05,0,69,193,2,0,341,1895,0,0,5,No offsets
GradientDescentStrategy,3219352272_483025_0_255,3219352272,382,382,518,MAXIMUM_EXECUTION_TIME_REACHED,15.036099529266357,2,165,1400,23,5,518,1442,0,36,5,random
GradientDescentStrategy,481483805_300212_1_288,481483805,397,397,158,MAXIMUM_EXECUTION_TIME_REACHED,15.025472688674927,1,-,-,-,-,158,1442,0,3,5,random
GradientDescentStrategy,1068194495_218848_1_36,1068194495,1848,1848,347,MAXIMUM_EXECUTION_TIME_REACHED,15.004741954803468,5,65,650,8,0,347,1072,0,469,5,random
GradientDescentStrategy,3491173286_967053_0_34,3491173286,0,0,1098,NOT_FLIPPED,0.002702188491821289,0,334,2206,679,0,1098,1442,0,0,5,No offsets
GradientDescentStrategy,3491190842_589006_1_288,3491190842,3889,3889,2866,MAXIMUM_EXECUTION_TIME_REACHED,15.002005434036255,3,27,314,29,0,2866,2986,0,176,5,random
GradientDescentStrategy,3072773410_767489_0_32,3072773410,0,1,429,FLIPPED_CONDITION,0.008447599411010743,3,165,1400,24,0,429,1283,1,172,5,
GradientDescentStrategy,3947417668_27448_1_288,3947417668,1692,1696,285,MAXIMUM_EXECUTION_TIME_REACHED,15.005646800994873,1,165,1400,1,0,285,1094,0,17,5,random
GradientDescentStrategy,3294620306_154507_0_32,3294620306,1523,1523,673,MAXIMUM_EXECUTION_TIME_REACHED,15.001865863800049,1,7,88,4,0,673,996,0,2,5,random
GradientDescentStrategy,2071574164_949944_0_288,2071574164,1778,1778,286,MAXIMUM_EXECUTION_TIME_REACHED,15.000686311721802,1,9,98,5,0,286,1195,0,32,5,random
GradientDescentStrategy,474421177_585886_1_288,474421177,0,1,314,FLIPPED_CONDITION,0.005127429962158203,1,77,773,24,0,314,1511,1,6,5,
GradientDescentStrategy,474418438_114499_0_32771,474418438,0,0,58,NOT_FLIPPED,3.881454467773438e-05,0,77,773,9,0,58,861,0,0,5,No offsets
GradientDescentStrategy,3219359169_941515_0_32,3219359169,0,3,221,FLIPPED_CONDITION,0.0632028579711914,1,32,383,10,0,221,986,1,4,5,
GradientDescentStrategy,3219369003_142104_1_288,3219369003,962,962,453,MAXIMUM_EXECUTION_TIME_REACHED,15.00512261390686,1,65,650,1,0,453,1270,0,52,5,random
GradientDescentStrategy,3491160746_377632_0_34,3491160746,3988,3988,4370,MAXIMUM_EXECUTION_TIME_REACHED,15.001446008682251,6,334,2206,4,0,4370,4388,0,2800,5,random
GradientDescentStrategy,2071589212_487659_0_288,2071589212,753,753,2197,MAXIMUM_EXECUTION_TIME_REACHED,15.002491331100464,3,9,98,4,0,2197,2649,0,887,5,random
