Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
GradientDescentStrategy,991,1967,1427,144,56,0
arithmatic_-1_0,1,0,0,0,0,0
fill_in_1,6,0,0,0,0,0
random,25,0,0,0,0,0
fill_in_0,73,0,0,0,0,0
arithmatic_1_0,3,0,0,0,0,0
RandomStrategy,1060,0,0,0,3525,0
LengthTaintStrategy,42,3523,615,405,0,0
RandomTaintStrategy,889,1967,0,0,1729,0
MagicByteStrategy,937,1967,1530,151,0,0
arithmatic_-1_True,3,0,0,0,0,0
arithmatic_1_True,5,0,0,0,0,0
arithmatic_1_False,266,0,0,0,0,0
zero_False,8,0,0,0,0,0
arithmatic_-1_False,56,0,0,0,0,0
fill_in_False,474,0,0,0,0,0
encoding_ascii_False,73,0,0,0,0,0
zero_True,1,0,0,0,0,0
fill_in_True,51,0,0,0,0,0
OneByteStrategy,770,3134,597,84,0,0
ConcolicStrategy,1006,2,2599,975,0,3
Angora,3496,0,0,0,0,0
