Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
GradientDescentStrategy;3491206451_444578_0_32771;3491206451;0;0;2287;NOT_FLIPPED;1.4781951904296875e-05;0;100;668;75;0
GradientDescentStrategy;3219394182_794998_0_32771;3219394182;0;0;265;NOT_FLIPPED;2.5510787963867188e-05;0;74;809;32;0
GradientDescentStrategy;3204361924_324723_1_32;3204361924;35;35;215;NOT_FLIPPED;0.0028247833251953125;1;-;-;-;-
GradientDescentStrategy;474416326_670397_0_36;474416326;0;0;153;NOT_FLIPPED;1.6450881958007812e-05;0;77;773;2;0
GradientDescentStrategy;3294574700_774814_0_32;3294574700;0;35;164;NOT_FLIPPED;0.003126382827758789;1;8;100;3;0
GradientDescentStrategy;3491187806_955271_0_32;3491187806;0;1000;335;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.0725855827331543;4;100;668;75;0
GradientDescentStrategy;474428503_111514_1_32771;474428503;0;0;292;NOT_FLIPPED;2.193450927734375e-05;0;6;71;2;0
GradientDescentStrategy;1883552894_945229_0_32771;1883552894;0;0;2814;NOT_FLIPPED;1.2159347534179688e-05;0;334;2206;679;0
GradientDescentStrategy;3491168303_411354_1_36;3491168303;59;59;2422;NOT_FLIPPED;0.004201173782348633;2;40;367;5;0
GradientDescentStrategy;474436423_585886_0_32;474436423;0;3;90;FLIPPED_CONDITION;0.0016105175018310547;1;77;773;24;0
GradientDescentStrategy;474420022_670397_1_32771;474420022;0;0;263;NOT_FLIPPED;1.9311904907226562e-05;0;77;773;23;0
GradientDescentStrategy;1068244886_386078_0_288;1068244886;35;35;484;NOT_FLIPPED;0.0028145313262939453;1;-;-;-;-
GradientDescentStrategy;3219391575_767489_1_34;3219391575;1;3;439;FLIPPED_CONDITION;0.001477956771850586;1;165;1400;14;0
GradientDescentStrategy;2957888000_578505_1_32771;2957888000;0;0;41;NOT_FLIPPED;1.811981201171875e-05;0;73;631;6;0
GradientDescentStrategy;1423250167_684756_0_36;1423250167;0;0;206;NOT_FLIPPED;2.8133392333984375e-05;0;69;193;14;0
GradientDescentStrategy;4269641206_585886_1_34;4269641206;5;1000;183;MAXIMUM_NUMBER_OF_INPUTS_REACHED;0.1238250732421875;1;77;773;20;0
GradientDescentStrategy;474421573_226656_1_36;474421573;0;0;412;NOT_FLIPPED;2.5987625122070312e-05;0;77;773;10;0
GradientDescentStrategy;1423264720_226656_0_36;1423264720;0;0;226;NOT_FLIPPED;1.71661376953125e-05;0;77;773;12;0
GradientDescentStrategy;1883630807_208561_0_288;1883630807;35;35;2282;NOT_FLIPPED;0.002379894256591797;1;27;314;10;0
GradientDescentStrategy;2957877671_578505_0_32771;2957877671;0;0;15;NOT_FLIPPED;2.8848648071289062e-05;0;73;631;3;0
GradientDescentStrategy;1883541410_911799_1_288;1883541410;35;35;1093;NOT_FLIPPED;0.002187967300415039;1;40;367;8;0
GradientDescentStrategy;1265120587_663668_0_288;1265120587;0;0;469;NOT_FLIPPED;7.271766662597656e-05;0;6;37;3;0
GradientDescentStrategy;474404116_670397_0_255;474404116;0;1;158;FLIPPED_CONDITION;0.0026841163635253906;1;77;773;5;4
GradientDescentStrategy;573364250_271643_0_288;573364250;35;35;2247;NOT_FLIPPED;0.0024709701538085938;1;-;-;-;-
GradientDescentStrategy;474406954_212233_0_255;474406954;0;1;401;FLIPPED_CONDITION;0.002849578857421875;1;69;193;15;3
GradientDescentStrategy;3831545334_90695_0_34;3831545334;155;155;2471;NOT_FLIPPED;0.00940704345703125;6;8;65;11;0
GradientDescentStrategy;4219306223_670397_0_36;4219306223;0;0;407;NOT_FLIPPED;1.811981201171875e-05;0;77;773;3;0
GradientDescentStrategy;1883547152_572790_0_32771;1883547152;0;0;1309;NOT_FLIPPED;1.3589859008789062e-05;0;334;2206;5;0
GradientDescentStrategy;2957879222_578505_0_32771;2957879222;0;0;29;NOT_FLIPPED;1.8835067749023438e-05;0;73;631;3;0
GradientDescentStrategy;3491168303_14881_0_32771;3491168303;0;0;1036;NOT_FLIPPED;2.1696090698242188e-05;0;40;367;5;0
GradientDescentStrategy;1883587346_547701_1_288;1883587346;35;35;1383;NOT_FLIPPED;0.0034818649291992188;1;40;367;38;0
GradientDescentStrategy;2957875856_161896_0_36;2957875856;0;0;1018;NOT_FLIPPED;2.5510787963867188e-05;0;19;206;6;0
GradientDescentStrategy;3491172098_245723_1_34;3491172098;0;0;2205;NOT_FLIPPED;2.1696090698242188e-05;0;334;2206;682;0
GradientDescentStrategy;3831578004_603237_0_32771;3831578004;0;0;1088;NOT_FLIPPED;1.5974044799804688e-05;0;8;65;11;0
GradientDescentStrategy;3491189951_903695_0_288;3491189951;59;59;2347;NOT_FLIPPED;0.0043103694915771484;2;100;668;3;0
GradientDescentStrategy;474406954_651826_0_511;474406954;0;1;449;FLIPPED_CONDITION;0.0068111419677734375;1;69;193;15;3
GradientDescentStrategy;3219384249_1037452_0_255;3219384249;0;1;595;FLIPPED_CONDITION;0.001857757568359375;1;124;1489;12;3
GradientDescentStrategy;3219371313_483025_0_32770;3219371313;83;83;589;NOT_FLIPPED;0.0049285888671875;3;165;1400;3;0
GradientDescentStrategy;3491157248_759116_1_32771;3491157248;0;0;389;NOT_FLIPPED;1.3828277587890625e-05;0;40;367;2;0
GradientDescentStrategy;3831549063_982388_1_40;3831549063;35;35;774;NOT_FLIPPED;0.002607583999633789;1;7;58;4;0
GradientDescentStrategy;3831578004_793617_0_32771;3831578004;0;0;962;NOT_FLIPPED;5.507469177246094e-05;0;8;65;11;0
GradientDescentStrategy;3219386724_386078_2_255;3219386724;0;1;238;FLIPPED_CONDITION;0.034201622009277344;1;74;809;10;3
GradientDescentStrategy;1423250167_128810_0_36;1423250167;0;0;126;NOT_FLIPPED;1.5735626220703125e-05;0;69;193;14;0
GradientDescentStrategy;3219394182_386078_1_32771;3219394182;0;0;355;NOT_FLIPPED;1.3113021850585938e-05;0;74;809;32;0
GradientDescentStrategy;3611357393_945229_0_34;3611357393;59;59;2313;NOT_FLIPPED;0.003525972366333008;2;-;-;-;-
GradientDescentStrategy;3831545334_507519_1_34;3831545334;131;131;2274;NOT_FLIPPED;0.009205818176269531;5;8;65;11;0
GradientDescentStrategy;1423248979_670397_0_32771;1423248979;0;0;163;NOT_FLIPPED;2.09808349609375e-05;0;77;773;4;0
GradientDescentStrategy;1883552894_572790_1_288;1883552894;0;0;2224;NOT_FLIPPED;2.7179718017578125e-05;0;334;2206;679;0
GradientDescentStrategy;3831543420_132126_0_288;3831543420;35;35;972;NOT_FLIPPED;0.011176824569702148;1;7;58;5;0
GradientDescentStrategy;4219306223_226656_0_32771;4219306223;0;0;425;NOT_FLIPPED;3.0040740966796875e-05;0;77;773;3;0
GradientDescentStrategy;1883543984_911799_1_36;1883543984;0;0;1089;NOT_FLIPPED;1.811981201171875e-05;0;-;-;-;-
GradientDescentStrategy;1423250167_651826_0_36;1423250167;0;0;237;NOT_FLIPPED;1.9788742065429688e-05;0;69;193;14;0
GradientDescentStrategy;1423285510_439294_0_36;1423285510;0;0;350;NOT_FLIPPED;2.1457672119140625e-05;0;6;71;4;0
GradientDescentStrategy;474418471_585886_1_32771;474418471;0;0;84;NOT_FLIPPED;2.0265579223632812e-05;0;77;773;15;0
GradientDescentStrategy;4218976553_114499_2_255;4218976553;0;1;83;FLIPPED_CONDITION;0.0009522438049316406;1;77;773;6;4
GradientDescentStrategy;474418570_114499_1_288;474418570;0;1;298;FLIPPED_CONDITION;0.0005016326904296875;1;77;773;18;0
GradientDescentStrategy;283822172_1013869_1_288;283822172;2;3;781;FLIPPED_CONDITION;0.0006799697875976562;2;73;631;12;0
GradientDescentStrategy;1883541410_759116_0_288;1883541410;35;35;930;NOT_FLIPPED;0.0029058456420898438;1;40;367;8;0
