Strategy,TOTAL,LengthTaintStrategy,MagicByteStrategy,RandomTaintStrategy,RandomStrategy,ConcolicStrategy,GradientDescentStrategy,OneByteStrategy
0-9%,117,4.27,43.59,47.01,13.68,38.46,43.59,43.59
10-19%,12,0.00,58.33,66.67,33.33,58.33,58.33,66.67
20-29%,66,0.00,45.45,45.45,12.12,42.42,48.48,42.42
30-39%,112,0.89,43.75,49.11,23.21,41.96,46.43,40.18
40-49%,196,0.00,39.29,45.92,26.53,40.82,41.84,30.10
50-59%,21,0.00,47.62,47.62,9.52,42.86,42.86,14.29
60-69%,20,0.00,55.00,55.00,35.00,55.00,60.00,30.00
70-79%,8,0.00,37.50,37.50,25.00,25.00,37.50,25.00
80-89%,15,0.00,13.33,20.00,26.67,20.00,13.33,6.67
90-100%,4,0.00,0.00,0.00,100.00,0.00,0.00,0.00
