Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness
GradientDescentStrategy,98922675_790838_0_288,98922675,14998,14998,352,MAXIMUM_EXECUTION_TIME_REACHED,0.723658561706543,1,10,85,13,0,352,491,0,107
GradientDescentStrategy,296745652_261390_1_40,296745652,253,760,223,MAXIMUM_EXECUTION_TIME_REACHED,0.07399344444274902,1,-,-,-,-,223,247,0,18
GradientDescentStrategy,98927229_35617_1_32,98927229,0,1,177,FLIPPED_CONDITION,0.17184662818908691,1,4,32,3,0,177,180,1,1
GradientDescentStrategy,98927229_168856_0_32,98927229,0,3,243,FLIPPED_CONDITION,0.0026497840881347656,1,4,32,3,0,243,247,1,1
GradientDescentStrategy,98912808_145288_0_288,98912808,1,3,36,FLIPPED_CONDITION,0.046332597732543945,1,10,85,12,0,36,39,1,7
GradientDescentStrategy,98927229_357687_1_32,98927229,0,1,131,FLIPPED_CONDITION,0.003431558609008789,1,4,32,3,0,131,138,1,1
GradientDescentStrategy,98909640_289905_1_32,98909640,0,0,229,NOT_FLIPPED,2.6464462280273438e-05,0,4,32,4,0,229,234,0,0
GradientDescentStrategy,296742187_919657_0_40,296742187,360,1082,253,MAXIMUM_EXECUTION_TIME_REACHED,0.09227728843688965,1,-,-,-,-,253,255,0,27
GradientDescentStrategy,98922675_193050_1_288,98922675,21,24,249,FLIPPED_CONDITION,0.004112720489501953,1,10,85,13,0,249,255,1,23
GradientDescentStrategy,98909640_168856_1_32771,98909640,0,0,447,NOT_FLIPPED,3.886222839355469e-05,0,4,32,4,0,447,449,0,0
GradientDescentStrategy,98899872_765407_1_32,98899872,0,0,221,NOT_FLIPPED,3.409385681152344e-05,0,6,61,4,0,221,223,0,0
GradientDescentStrategy,98928384_1000659_1_32,98928384,0,0,185,NOT_FLIPPED,3.4332275390625e-05,0,4,32,4,0,185,189,0,0
GradientDescentStrategy,98912808_193050_1_288,98912808,7,24,209,FLIPPED_CONDITION,0.0020160675048828125,1,10,85,12,0,209,215,1,7
GradientDescentStrategy,296742187_790838_1_40,296742187,504,504,198,MAXIMUM_EXECUTION_TIME_REACHED,0.0496060848236084,1,-,-,-,-,198,371,0,15
GradientDescentStrategy,296771689_123985_0_40,296771689,502,502,222,MAXIMUM_EXECUTION_TIME_REACHED,0.04677295684814453,1,22,149,5,0,222,234,0,6
GradientDescentStrategy,296855641_74179_1_38,296855641,0,2,234,FLIPPED_CONDITION,0.0004284381866455078,1,22,149,4,0,234,243,1,2
GradientDescentStrategy,296837623_131172_0_38,296837623,0,1,106,FLIPPED_CONDITION,0.0020797252655029297,1,54,420,2,0,106,112,1,2
GradientDescentStrategy,98922675_60229_0_288,98922675,5456,5456,232,MAXIMUM_EXECUTION_TIME_REACHED,0.3758854866027832,1,10,85,13,0,232,234,0,9
GradientDescentStrategy,98922675_840868_0_288,98922675,0,1,251,FLIPPED_CONDITION,0.00019621849060058594,2,10,85,13,0,251,268,1,70
GradientDescentStrategy,98909640_585264_0_32,98909640,0,0,137,NOT_FLIPPED,3.4809112548828125e-05,0,4,32,4,0,137,238,0,0
GradientDescentStrategy,98922675_790838_1_288,98922675,1994,1994,245,MAXIMUM_EXECUTION_TIME_REACHED,0.17971372604370117,1,10,85,13,0,245,496,0,20
GradientDescentStrategy,98950857_261390_1_294,98950857,0,14,223,FLIPPED_CONDITION,0.09905743598937988,1,22,149,3,0,223,255,1,1
GradientDescentStrategy,98923665_74179_1_40,98923665,377,566,197,MAXIMUM_EXECUTION_TIME_REACHED,0.06066441535949707,1,22,149,2,0,197,492,0,21
GradientDescentStrategy,98898849_131172_0_32,98898849,0,3,13,FLIPPED_CONDITION,0.012135505676269531,1,54,420,3,0,13,14,1,3
GradientDescentStrategy,98899113_131172_0_32,98899113,0,0,0,NOT_FLIPPED,1.8835067749023438e-05,0,54,420,4,0,0,3,0,0
GradientDescentStrategy,98899674_131172_0_32,98899674,0,0,5,NOT_FLIPPED,3.123283386230469e-05,0,54,420,4,0,5,14,0,0
GradientDescentStrategy,98946039_11991_1_32,98946039,0,1,192,FLIPPED_CONDITION,0.0004119873046875,1,10,85,2,0,192,196,1,2
GradientDescentStrategy,98951880_211100_1_38,98951880,0,3,334,FLIPPED_CONDITION,0.05376291275024414,1,22,149,4,0,334,340,1,2
GradientDescentStrategy,98930034_261390_1_40,98930034,257,772,225,MAXIMUM_EXECUTION_TIME_REACHED,0.07447576522827148,1,22,149,2,0,225,247,0,20
GradientDescentStrategy,98899047_131172_1_32,98899047,0,0,218,NOT_FLIPPED,2.7418136596679688e-05,0,54,420,4,0,218,220,0,0
GradientDescentStrategy,98909640_815284_0_32,98909640,0,0,224,NOT_FLIPPED,2.288818359375e-05,0,4,32,4,0,224,234,0,0
GradientDescentStrategy,98923896_211100_1_38,98923896,308,787,26,MAXIMUM_EXECUTION_TIME_REACHED,0.0927572250366211,1,22,149,2,0,26,39,0,4
GradientDescentStrategy,98928384_438460_0_32771,98928384,0,0,258,NOT_FLIPPED,5.0067901611328125e-05,0,4,32,4,0,258,266,0,0
GradientDescentStrategy,98909640_144448_0_32771,98909640,0,0,26,NOT_FLIPPED,4.3392181396484375e-05,0,4,32,4,0,26,126,0,0
GradientDescentStrategy,98928384_289905_1_32,98928384,0,0,232,NOT_FLIPPED,4.076957702636719e-05,0,4,32,4,0,232,237,0,0
GradientDescentStrategy,296745652_123985_1_40,296745652,493,493,255,MAXIMUM_EXECUTION_TIME_REACHED,0.04833102226257324,1,-,-,-,-,255,371,0,68
GradientDescentStrategy,98928384_168574_1_32,98928384,0,0,226,NOT_FLIPPED,3.814697265625e-05,0,4,32,4,0,226,231,0,0
GradientDescentStrategy,98951880_211100_0_38,98951880,0,1,178,FLIPPED_CONDITION,0.08199715614318848,1,22,149,4,0,178,180,1,2
GradientDescentStrategy,2670775915_169184_0_32,2670775915,0,0,19,NOT_FLIPPED,4.9591064453125e-05,0,-,-,-,-,19,39,0,0
GradientDescentStrategy,98909640_832806_0_32,98909640,0,0,30,NOT_FLIPPED,3.647804260253906e-05,0,4,32,4,0,30,40,0,0
GradientDescentStrategy,296855641_261390_1_38,296855641,0,2,259,FLIPPED_CONDITION,0.0008738040924072266,1,22,149,4,0,259,266,1,2
