Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
LengthTaintStrategy,6,477,0,88,0,0
MagicByteStrategy,240,188,17,126,0,0
fill_in_True,25,0,0,0,0,0
arithmatic_-1_True,3,0,0,0,0,0
zero_False,3,0,0,0,0,0
arithmatic_1_False,87,0,0,0,0,0
fill_in_False,101,0,0,0,0,0
arithmatic_-1_False,17,0,0,0,0,0
arithmatic_1_True,4,0,0,0,0,0
RandomTaintStrategy,265,188,0,0,118,0
RandomStrategy,125,0,0,0,446,0
ConcolicStrategy,232,222,20,97,0,0
GradientDescentStrategy,250,188,4,72,57,0
random,8,0,0,0,0,0
fill_in_1,5,0,0,0,0,0
fill_in_0,21,0,0,0,0,0
arithmatic_1_0,1,0,0,0,0,0
OneByteStrategy,203,240,52,76,0,0
Angora,462,0,0,0,0,0
