Strategy;id;cmpid;nrOfMisses;nrOfInputs;depth;status;totalTime;nrOfOffsets;cyclomatic;oviedo;chain_size;cases
ConcolicStrategy;98922675_790838_0_288;98922675;0;1;0;FLIPPED_CONDITION;8.00416111946106;1;10;85;13;0
ConcolicStrategy;98928384_289905_1_32771;98928384;0;0;0;NOT_FLIPPED;0.018983125686645508;0;4;32;4;0
ConcolicStrategy;98951880_261390_0_38;98951880;0;3;0;NOT_FLIPPED;0.06725502014160156;1;22;149;4;0
ConcolicStrategy;98946039_60229_0_32;98946039;0;1;0;FLIPPED_CONDITION;0.31957530975341797;1;10;85;2;0
ConcolicStrategy;98899674_131172_0_32;98899674;0;0;0;NOT_FLIPPED;0.018830060958862305;0;54;420;4;0
ConcolicStrategy;296738920_131172_1_288;296738920;0;0;0;NOT_FLIPPED;0.0198061466217041;1;-;-;-;-
ConcolicStrategy;98912379_60229_0_40;98912379;8;9;0;NOT_FLIPPED;0.23431062698364258;1;10;85;2;0
ConcolicStrategy;98929737_261390_0_288;98929737;75;76;0;NOT_FLIPPED;8.01510238647461;1;22;149;4;0
ConcolicStrategy;296745652_74179_0_40;296745652;107;107;0;NOT_FLIPPED;8.01940131187439;1;-;-;-;-
ConcolicStrategy;890278240_123985_0_288;890278240;64;78;0;NOT_FLIPPED;8.028015851974487;3;-;-;-;-
ConcolicStrategy;296858413_131172_0_38;296858413;0;1;0;FLIPPED_CONDITION;0.03526782989501953;1;54;420;2;0
ConcolicStrategy;98954355_131172_0_38;98954355;0;1;0;FLIPPED_CONDITION;0.036142826080322266;1;54;420;2;0
ConcolicStrategy;296771689_211100_1_40;296771689;1;2;0;FLIPPED_CONDITION;8.01956844329834;1;22;149;5;0
ConcolicStrategy;296771689_74179_1_40;296771689;7;12;0;FLIPPED_CONDITION;8.029360294342041;1;22;149;5;0
ConcolicStrategy;98950857_123985_0_294;98950857;0;1;0;FLIPPED_CONDITION;0.06757640838623047;1;22;149;3;0
ConcolicStrategy;98898321_131172_1_32;98898321;0;1;0;FLIPPED_CONDITION;0.018326997756958008;1;54;420;3;0
ConcolicStrategy;98909640_153580_0_32;98909640;0;0;0;NOT_FLIPPED;0.0232999324798584;0;4;32;4;0
ConcolicStrategy;296742187_193050_0_40;296742187;19;36;0;NOT_FLIPPED;8.010437488555908;1;-;-;-;-
ConcolicStrategy;98913336_131172_1_40;98913336;7;9;0;NOT_FLIPPED;0.12147045135498047;1;54;420;8;0
ConcolicStrategy;98950857_261390_1_294;98950857;59;78;0;NOT_FLIPPED;8.025644540786743;2;22;149;3;0
ConcolicStrategy;98912808_145288_1_288;98912808;4;6;0;FLIPPED_CONDITION;8.011775016784668;1;10;85;12;0
ConcolicStrategy;98960031_131172_0_38;98960031;0;1;0;FLIPPED_CONDITION;0.03615927696228027;1;54;420;2;0
ConcolicStrategy;98946039_840868_1_32;98946039;0;1;0;FLIPPED_CONDITION;0.06725406646728516;1;10;85;2;0
ConcolicStrategy;98899872_765407_0_32771;98899872;0;0;0;NOT_FLIPPED;0.02190852165222168;0;6;61;4;0
ConcolicStrategy;98909640_585264_0_32771;98909640;0;0;0;NOT_FLIPPED;0.018312692642211914;0;4;32;4;0
ConcolicStrategy;98921784_145288_1_40;98921784;4;6;0;FLIPPED_CONDITION;8.025282621383667;1;10;85;1;0
ConcolicStrategy;98945874_131172_1_38;98945874;0;1;0;FLIPPED_CONDITION;0.27119922637939453;1;54;420;2;0
ConcolicStrategy;98928384_51651_1_32771;98928384;0;0;0;NOT_FLIPPED;0.028561830520629883;0;4;32;4;0
ConcolicStrategy;296777431_123985_0_40;296777431;26;28;0;FLIPPED_CONDITION;3.3447890281677246;1;-;-;-;-
ConcolicStrategy;296740999_74179_0_288;296740999;2;2;0;NOT_FLIPPED;0.06793785095214844;1;-;-;-;-
ConcolicStrategy;296740999_74179_1_288;296740999;6;6;0;NOT_FLIPPED;0.1184990406036377;1;-;-;-;-
ConcolicStrategy;98922675_60229_1_288;98922675;12;15;0;NOT_FLIPPED;0.675818681716919;1;10;85;13;0
ConcolicStrategy;98899674_131172_0_32771;98899674;0;0;0;NOT_FLIPPED;0.0215456485748291;0;54;420;4;0
ConcolicStrategy;3422574507_882976_0_36;3422574507;2;11;0;NOT_FLIPPED;0.22121238708496094;2;5;55;4;0
ConcolicStrategy;98937426_169184_1_40;98937426;0;3;0;NOT_FLIPPED;0.06865382194519043;1;31;339;6;0
ConcolicStrategy;98928384_289905_0_32771;98928384;0;0;0;NOT_FLIPPED;0.018790721893310547;0;4;32;4;0
ConcolicStrategy;98928384_438460_1_32;98928384;0;0;0;NOT_FLIPPED;0.010555744171142578;0;4;32;4;0
ConcolicStrategy;296749909_131172_1_294;296749909;0;0;0;NOT_FLIPPED;0.019351720809936523;1;-;-;-;-
ConcolicStrategy;98909640_832806_1_32771;98909640;0;0;0;NOT_FLIPPED;0.010596513748168945;0;4;32;4;0
ConcolicStrategy;296745652_261390_0_40;296745652;11;12;0;FLIPPED_CONDITION;8.036642789840698;1;-;-;-;-
ConcolicStrategy;98927229_961657_0_32;98927229;0;1;0;FLIPPED_CONDITION;0.26775121688842773;1;4;32;3;0
ConcolicStrategy;98946039_193050_1_32;98946039;0;1;0;FLIPPED_CONDITION;0.06812167167663574;1;10;85;2;0
ConcolicStrategy;98946039_790838_1_32;98946039;0;1;0;FLIPPED_CONDITION;0.1203005313873291;1;10;85;2;0
ConcolicStrategy;296745652_74179_1_40;296745652;88;105;0;NOT_FLIPPED;8.020809888839722;1;-;-;-;-
ConcolicStrategy;98922675_840868_0_288;98922675;0;1;0;FLIPPED_CONDITION;8.003844499588013;1;10;85;13;0
ConcolicStrategy;98948910_131172_0_38;98948910;0;2;0;NOT_FLIPPED;0.03518557548522949;1;54;420;2;0
ConcolicStrategy;296742187_840868_0_40;296742187;0;1;0;FLIPPED_CONDITION;8.006413459777832;1;-;-;-;-
ConcolicStrategy;296745652_211100_1_40;296745652;86;103;0;NOT_FLIPPED;8.02051043510437;1;-;-;-;-
ConcolicStrategy;296694469_131172_1_32;296694469;0;0;0;NOT_FLIPPED;0.010483264923095703;0;54;420;3;0
ConcolicStrategy;98922675_60229_0_288;98922675;0;1;0;FLIPPED_CONDITION;0.168928861618042;1;10;85;13;0
ConcolicStrategy;98925018_131172_1_40;98925018;0;0;0;NOT_FLIPPED;0.012048482894897461;1;54;420;4;0
ConcolicStrategy;3422574507_431083_0_36;3422574507;12;12;0;NOT_FLIPPED;0.3541536331176758;2;5;55;4;0
ConcolicStrategy;98913897_261390_0_288;98913897;68;73;0;NOT_FLIPPED;8.022026062011719;1;22;149;7;0
ConcolicStrategy;98927229_423214_1_32;98927229;0;1;0;FLIPPED_CONDITION;0.06826376914978027;1;4;32;3;0
