Strategy,TOTAL,RandomTaintStrategy,GradientDescentStrategy,MagicByteStrategy,OneByteStrategy,ConcolicStrategy,LengthTaintStrategy,RandomStrategy
0-9%,201,18.41,78.61,18.91,10.95,9.45,0.00,21.89
10-19%,272,15.07,74.63,12.87,13.24,18.01,0.00,16.18
20-29%,126,3.17,73.81,1.59,2.38,14.29,0.00,8.73
30-39%,107,0.93,80.37,0.00,0.00,4.67,0.00,8.41
40-49%,83,1.20,84.34,1.20,0.00,20.48,0.00,19.28
50-59%,208,1.92,80.29,0.96,0.96,6.25,0.00,7.21
60-69%,40,0.00,87.50,0.00,0.00,35.00,0.00,5.00
70-79%,2,0.00,100.00,0.00,0.00,50.00,0.00,50.00
80-89%,8,12.50,37.50,12.50,0.00,25.00,0.00,12.50
90-100%,2,0.00,50.00,0.00,0.00,50.00,0.00,50.00
