Strategy,Total,RandomTaintStrategy,GradientDescentStrategy,MagicByteStrategy,OneByteStrategy,ConcolicStrategy,LengthTaintStrategy,RandomStrategy
0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,92,70.65,73.91,68.48,68.48,9.78,0.00,11.96
2,126,18.25,45.24,9.52,0.00,7.94,0.00,17.46
3,59,0.00,96.61,1.69,0.00,10.17,0.00,10.17
4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,63,0.00,88.89,1.59,0.00,46.03,0.00,41.27
6,25,0.00,96.00,0.00,0.00,0.00,0.00,0.00
7,117,0.00,64.10,0.85,0.00,8.55,0.00,5.98
8,32,0.00,90.62,0.00,0.00,9.38,0.00,6.25
9,136,0.00,93.38,0.00,0.00,6.62,0.00,8.82
10,2,0.00,50.00,0.00,0.00,50.00,0.00,0.00
11,108,0.00,89.81,0.00,0.00,20.37,0.00,29.63
12,30,0.00,93.33,0.00,0.00,3.33,0.00,0.00
13,145,0.69,70.34,0.69,0.00,13.79,0.00,9.66
14,16,0.00,62.50,0.00,0.00,12.50,0.00,6.25
15,59,0.00,93.22,0.00,0.00,22.03,0.00,13.56
16,6,0.00,100.00,0.00,0.00,0.00,0.00,16.67
17,14,0.00,85.71,0.00,0.00,21.43,0.00,7.14
18,14,0.00,100.00,0.00,0.00,7.14,0.00,7.14
