Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined,comment
GradientDescentStrategy,3307621814_896686_0_255,3307621814,14,15,159,FLIPPED_CONDITION,0.02470231056213379,9,18,164,1,10,159,313,1,1260,5,
GradientDescentStrategy,3307621814_405105_2_511,3307621814,15,16,671,FLIPPED_CONDITION,0.10472602844238281,17,18,164,1,10,671,1219,1,8684,5,
GradientDescentStrategy,3999247558_384186_1_32,3999247558,2,3,761,FLIPPED_CONDITION,0.007390928268432617,6,122,792,46,0,761,1235,1,3214,5,
GradientDescentStrategy,3307667618_384186_0_34,3307667618,1441,7206,1390,MAXIMUM_EXECUTION_TIME_REACHED,15.000976848602296,2,122,792,48,0,1390,1441,0,48,5,
GradientDescentStrategy,3307662668_833007_1_34,3307662668,4494,8667,43,MAXIMUM_EXECUTION_TIME_REACHED,15.000523233413697,13,122,792,49,0,43,50,0,100,5,
GradientDescentStrategy,4243254704_557481_1_32,4243254704,0,1,74,FLIPPED_CONDITION,0.03865561485290527,1,49,288,9,0,74,203,1,1,5,
GradientDescentStrategy,3307644023_322812_1_32,3307644023,2,3,193,FLIPPED_CONDITION,0.007290840148925781,5,18,164,35,0,193,694,1,656,5,
GradientDescentStrategy,3407808083_962516_1_32,3407808083,14,15,372,FLIPPED_CONDITION,0.026703500747680665,12,122,792,46,0,372,897,1,4186,5,
GradientDescentStrategy,3393615927_770989_0_34,3393615927,13,17,914,FLIPPED_CONDITION,0.4044791698455811,15,32,323,25,0,914,1391,1,4738,5,
GradientDescentStrategy,3307644023_254604_0_32,3307644023,2,4,230,FLIPPED_CONDITION,0.008173561096191407,5,18,164,35,0,230,694,1,804,5,
GradientDescentStrategy,3307658213_962516_1_32,3307658213,14,15,368,FLIPPED_CONDITION,0.10989012718200683,12,122,792,46,0,368,896,1,4129,5,
GradientDescentStrategy,3307621814_819656_0_511,3307621814,173,173,197,MAXIMUM_EXECUTION_TIME_REACHED,15.013271379470826,7,18,164,1,10,197,1695,0,1162,5,random
GradientDescentStrategy,3307644023_879977_1_32,3307644023,2,3,765,FLIPPED_CONDITION,0.007296228408813476,9,18,164,35,0,765,1237,1,3262,5,
GradientDescentStrategy,3307644023_745063_0_32,3307644023,2,4,694,FLIPPED_CONDITION,0.008535099029541016,5,18,164,35,0,694,704,1,2660,5,
GradientDescentStrategy,3307621814_989719_0_511,3307621814,210,221,453,MAXIMUM_EXECUTION_TIME_REACHED,15.013997173309326,13,18,164,1,10,453,1695,0,3978,5,random
GradientDescentStrategy,3307649633_962516_1_34,3307649633,27,31,405,FLIPPED_CONDITION,0.05513644218444824,15,122,792,41,0,405,966,1,4398,5,
GradientDescentStrategy,3307632638_833007_0_255,3307632638,2,3,72,FLIPPED_CONDITION,0.17506856918334962,9,122,792,17,35,72,739,1,388,5,
GradientDescentStrategy,3307621814_275530_0_511,3307621814,15,16,538,FLIPPED_CONDITION,0.1684049129486084,13,18,164,1,10,538,957,1,5356,5,
GradientDescentStrategy,3307644023_819656_1_32,3307644023,2,3,765,FLIPPED_CONDITION,0.009241628646850585,9,18,164,35,0,765,1237,1,3262,5,
GradientDescentStrategy,3307644914_509569_1_38,3307644914,2,4,183,FLIPPED_CONDITION,0.014763355255126953,7,122,792,55,0,183,684,1,622,5,
GradientDescentStrategy,4243254704_557481_0_32,4243254704,0,3,26,FLIPPED_CONDITION,0.006438589096069336,1,49,288,9,0,26,205,1,1,5,
GradientDescentStrategy,3307644023_33753_1_32,3307644023,14,15,87,FLIPPED_CONDITION,0.0256166934967041,11,18,164,35,0,87,96,1,538,5,
GradientDescentStrategy,3307679201_962516_1_40,3307679201,14,16,449,FLIPPED_CONDITION,0.053887033462524415,12,122,792,57,0,449,973,1,5039,5,
GradientDescentStrategy,3307644023_105787_0_32,3307644023,14,16,87,FLIPPED_CONDITION,0.026653385162353514,11,18,164,35,0,87,101,1,538,5,
GradientDescentStrategy,4243241636_557481_2_255,4243241636,0,1,10,FLIPPED_CONDITION,0.04646282196044922,1,49,288,4,19,10,203,1,5,5,
GradientDescentStrategy,1632342941_509569_1_32,1632342941,2,3,226,FLIPPED_CONDITION,0.020877933502197264,2,122,792,46,0,226,690,1,781,5,
GradientDescentStrategy,2562861074_174840_0_38,2562861074,17,20,264,FLIPPED_CONDITION,0.03285574913024902,13,32,323,23,0,264,774,1,2196,5,
GradientDescentStrategy,3307621814_105787_2_255,3307621814,14,15,80,FLIPPED_CONDITION,0.025054454803466797,9,18,164,1,10,80,95,1,476,5,
