Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
RandomTaintStrategy,89,2,0,0,958,0
GradientDescentStrategy,818,2,86,57,86,0
arithmatic_1_0,2,0,0,0,0,0
fill_in_0,4,0,0,0,0,0
arithmatic_-1_1,1,0,0,0,0,0
random,2,0,0,0,0,0
MagicByteStrategy,79,2,946,22,0,0
arithmatic_1_True,2,0,0,0,0,0
arithmatic_-1_False,1,0,0,0,0,0
arithmatic_-1_True,1,0,0,0,0,0
zero_False,2,0,0,0,0,0
encoding_ascii_False,2,0,0,0,0,0
fill_in_False,41,0,0,0,0,0
fill_in_True,21,0,0,0,0,0
arithmatic_1_False,9,0,0,0,0,0
OneByteStrategy,63,980,0,6,0,0
ConcolicStrategy,139,195,333,382,0,0
LengthTaintStrategy,0,1048,0,1,0,0
RandomStrategy,144,0,0,0,905,0
Angora,684,0,0,0,0,0
