Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases
ConcolicStrategy,3307621814_669889_0_255,3307621814,7,7,0,NOT_FLIPPED,0.8034462928771973,3,18,164,1,10
ConcolicStrategy,3307644023_1013586_0_32,3307644023,7,8,0,NOT_FLIPPED,0.8056027889251709,5,18,164,35,0
ConcolicStrategy,3307621814_819656_0_511,3307621814,57,57,0,NOT_FLIPPED,8.086087226867676,7,18,164,1,10
ConcolicStrategy,3307644023_586862_1_32,3307644023,10,11,0,NOT_FLIPPED,1.0180790424346924,9,18,164,35,0
ConcolicStrategy,3307621814_846712_0_255,3307621814,3,3,0,NOT_FLIPPED,0.05359959602355957,9,18,164,1,10
ConcolicStrategy,3307632638_384186_0_511,3307632638,31,32,0,FLIPPED_CONDITION,8.159371614456177,15,122,792,17,35
ConcolicStrategy,3307705832_833007_0_40,3307705832,4,4,0,NOT_FLIPPED,0.085784912109375,13,122,792,55,0
ConcolicStrategy,3307621814_141460_2_255,3307621814,10,10,0,NOT_FLIPPED,0.9226343631744385,7,18,164,1,10
ConcolicStrategy,3478208625_770989_0_34,3478208625,8,9,0,FLIPPED_CONDITION,1.097043514251709,9,32,323,10,0
ConcolicStrategy,3307621814_691161_0_255,3307621814,12,50,0,NOT_FLIPPED,8.071488618850708,13,18,164,1,10
ConcolicStrategy,3307646762_509569_0_288,3307646762,0,0,0,NOT_FLIPPED,0.05361461639404297,1,122,792,18,0
ConcolicStrategy,3307644023_400903_1_32,3307644023,13,52,0,NOT_FLIPPED,8.065665245056152,15,18,164,35,0
ConcolicStrategy,3307644023_781256_1_32,3307644023,0,0,0,NOT_FLIPPED,0.051183462142944336,11,18,164,35,0
ConcolicStrategy,3478223211_45251_1_34,3478223211,1,1,0,NOT_FLIPPED,0.055983781814575195,2,32,323,18,0
ConcolicStrategy,3307621814_613370_0_255,3307621814,3,3,0,NOT_FLIPPED,0.08600115776062012,9,18,164,1,10
ConcolicStrategy,1332978173_962516_1_32,1332978173,0,1,0,FLIPPED_CONDITION,0.05889320373535156,11,122,792,14,0
ConcolicStrategy,3307644023_405105_1_288,3307644023,12,52,0,NOT_FLIPPED,8.06537413597107,18,18,164,35,0
ConcolicStrategy,3307650128_509569_0_32,3307650128,6,7,0,NOT_FLIPPED,0.8616089820861816,7,122,792,48,0
ConcolicStrategy,3307705832_509569_0_40,3307705832,19,21,0,FLIPPED_CONDITION,0.7855608463287354,7,122,792,55,0
ConcolicStrategy,3307621814_268546_2_255,3307621814,0,0,0,NOT_FLIPPED,0.04989027976989746,9,18,164,1,10
ConcolicStrategy,4243241966_557481_1_32,4243241966,0,0,0,NOT_FLIPPED,0.032143592834472656,1,49,288,2,0
ConcolicStrategy,2562861074_645526_1_38,2562861074,10,10,0,NOT_FLIPPED,0.9328370094299316,11,32,323,23,0
ConcolicStrategy,1631463524_384186_1_288,1631463524,0,0,0,NOT_FLIPPED,0.0505831241607666,1,-,-,-,-
ConcolicStrategy,3307644023_289145_0_32,3307644023,10,10,0,NOT_FLIPPED,1.0135316848754883,9,18,164,35,0
ConcolicStrategy,3478193082_645526_0_255,3478193082,7,9,0,FLIPPED_CONDITION,0.8625810146331787,7,32,323,8,6
ConcolicStrategy,3307621814_361005_2_511,3307621814,4,6,0,NOT_FLIPPED,0.1926872730255127,11,18,164,1,10
ConcolicStrategy,3307621814_476309_2_255,3307621814,10,11,0,NOT_FLIPPED,1.024545431137085,7,18,164,1,10
ConcolicStrategy,3307644023_449984_1_32,3307644023,6,7,0,FLIPPED_CONDITION,0.8561456203460693,5,18,164,35,0
ConcolicStrategy,3307621814_164509_0_255,3307621814,11,11,0,NOT_FLIPPED,1.0153799057006836,7,18,164,1,10
ConcolicStrategy,3307644023_405105_0_288,3307644023,13,51,0,NOT_FLIPPED,8.060406923294067,18,18,164,35,0
ConcolicStrategy,3307658213_384186_1_32,3307658213,10,10,0,NOT_FLIPPED,0.9708211421966553,6,122,792,46,0
ConcolicStrategy,2562861074_45251_1_38,2562861074,12,51,0,NOT_FLIPPED,8.074317455291748,18,32,323,23,0
ConcolicStrategy,3307644023_586862_0_32,3307644023,10,10,0,NOT_FLIPPED,1.0569286346435547,9,18,164,35,0
ConcolicStrategy,3307621814_351197_0_255,3307621814,12,50,0,NOT_FLIPPED,8.065574169158936,13,18,164,1,10
ConcolicStrategy,3307621814_185513_2_255,3307621814,7,7,0,NOT_FLIPPED,0.7525370121002197,3,18,164,1,10
ConcolicStrategy,3307637588_962516_0_288,3307637588,108,112,0,NOT_FLIPPED,8.40974736213684,13,122,792,11,0
ConcolicStrategy,3478207833_770989_0_34,3478207833,7,8,0,FLIPPED_CONDITION,1.0389540195465088,11,32,323,15,0
ConcolicStrategy,3478193082_174840_2_255,3478193082,0,1,0,FLIPPED_CONDITION,0.14126801490783691,9,32,323,8,6
ConcolicStrategy,3307664285_833007_0_34,3307664285,1,1,0,NOT_FLIPPED,0.04957294464111328,2,122,792,103,0
ConcolicStrategy,3307621814_125646_0_255,3307621814,12,50,0,NOT_FLIPPED,8.062118291854858,13,18,164,1,10
ConcolicStrategy,3307684877_962516_1_288,3307684877,1,1,0,NOT_FLIPPED,0.05749320983886719,2,122,792,17,0
ConcolicStrategy,3307621814_686923_2_255,3307621814,0,0,0,NOT_FLIPPED,0.04700183868408203,9,18,164,1,10
ConcolicStrategy,3307621814_566136_2_255,3307621814,11,11,0,NOT_FLIPPED,1.0293664932250977,7,18,164,1,10
ConcolicStrategy,3307644023_254604_1_32,3307644023,9,11,0,FLIPPED_CONDITION,0.5527620315551758,5,18,164,35,0
ConcolicStrategy,3307642274_509569_0_32,3307642274,0,1,0,FLIPPED_CONDITION,0.9371368885040283,2,122,792,103,0
ConcolicStrategy,3307621814_272287_0_255,3307621814,12,51,0,NOT_FLIPPED,8.065864324569702,13,18,164,1,10
ConcolicStrategy,3307644023_694688_0_32,3307644023,10,10,0,NOT_FLIPPED,1.2099220752716064,9,18,164,35,0
ConcolicStrategy,3307644023_782519_0_32,3307644023,16,19,0,NOT_FLIPPED,0.5122683048248291,5,18,164,35,0
ConcolicStrategy,3307648181_656381_0_32770,3307648181,0,0,0,NOT_FLIPPED,0.047454833984375,6,17,114,2,0
ConcolicStrategy,3307639139_384186_0_288,3307639139,114,126,0,NOT_FLIPPED,8.30973505973816,15,122,792,16,0
ConcolicStrategy,3307621814_17558_0_255,3307621814,0,0,0,NOT_FLIPPED,0.04311108589172363,9,18,164,1,10
ConcolicStrategy,3307656662_833007_0_34,3307656662,3,3,0,NOT_FLIPPED,0.056783199310302734,11,122,792,40,0
ConcolicStrategy,3307644023_242622_0_32,3307644023,10,10,0,NOT_FLIPPED,0.9851648807525635,9,18,164,35,0
ConcolicStrategy,3478207833_645526_0_34,3478207833,6,7,0,FLIPPED_CONDITION,0.9519834518432617,11,32,323,15,0
ConcolicStrategy,3478211694_45251_0_32,3478211694,13,52,0,NOT_FLIPPED,8.064365863800049,14,32,323,8,0
ConcolicStrategy,3307644023_387229_0_32,3307644023,0,0,0,NOT_FLIPPED,0.049048662185668945,11,18,164,35,0
ConcolicStrategy,4243244804_557481_1_38,4243244804,1,4,0,NOT_FLIPPED,0.0525360107421875,2,49,288,5,0
ConcolicStrategy,3307705832_962516_1_40,3307705832,13,52,0,NOT_FLIPPED,8.065317153930664,17,122,792,55,0
ConcolicStrategy,1333140038_129207_0_32,1333140038,0,0,0,NOT_FLIPPED,0.04750800132751465,1,86,322,2,0
ConcolicStrategy,4243250183_557481_1_32771,4243250183,0,1,0,NOT_FLIPPED,0.0528416633605957,0,49,288,13,0
ConcolicStrategy,3307621814_702787_2_255,3307621814,7,7,0,NOT_FLIPPED,0.7508587837219238,3,18,164,1,10
ConcolicStrategy,3307644023_686923_0_32,3307644023,0,0,0,NOT_FLIPPED,0.037981510162353516,11,18,164,35,0
ConcolicStrategy,3307644023_1023890_1_32,3307644023,0,1,0,FLIPPED_CONDITION,0.04844403266906738,11,18,164,35,0
ConcolicStrategy,3307621814_400903_2_255,3307621814,13,53,0,NOT_FLIPPED,8.084178447723389,13,18,164,1,10
ConcolicStrategy,1844666732_770989_0_40,1844666732,10,11,0,FLIPPED_CONDITION,8.254807949066162,11,32,323,5,0
ConcolicStrategy,3307621814_799368_0_255,3307621814,7,7,0,NOT_FLIPPED,0.8036532402038574,3,18,164,1,10
ConcolicStrategy,2455870071_251725_0_32770,2455870071,0,0,0,NOT_FLIPPED,0.032784223556518555,4,34,175,2,0
ConcolicStrategy,4243243781_557481_1_38,4243243781,2,4,0,NOT_FLIPPED,0.05732321739196777,2,49,288,5,0
ConcolicStrategy,3307644023_185513_1_32,3307644023,6,7,0,FLIPPED_CONDITION,0.8579320907592773,5,18,164,35,0
ConcolicStrategy,3307644023_533242_1_32,3307644023,9,11,0,NOT_FLIPPED,1.01535964012146,9,18,164,35,0
ConcolicStrategy,1633489658_962516_0_32,1633489658,3,5,0,NOT_FLIPPED,0.08636856079101562,12,122,792,46,0
ConcolicStrategy,3478200441_770989_1_38,3478200441,92,94,0,NOT_FLIPPED,8.150042533874512,11,32,323,2,0
ConcolicStrategy,3307621814_651763_2_255,3307621814,13,53,0,NOT_FLIPPED,8.064529657363892,13,18,164,1,10
ConcolicStrategy,3307637588_833007_0_32,3307637588,1,2,0,FLIPPED_CONDITION,0.0590367317199707,9,122,792,11,0
ConcolicStrategy,4139893673_950436_1_32,4139893673,0,0,0,NOT_FLIPPED,0.04569530487060547,1,4,27,6,0
ConcolicStrategy,3307644023_918020_0_32,3307644023,10,10,0,NOT_FLIPPED,1.0424253940582275,9,18,164,35,0
