Strategy,TOTAL,GradientDescentStrategy,LengthTaintStrategy,ConcolicStrategy,RandomTaintStrategy,RandomStrategy,MagicByteStrategy,OneByteStrategy
0-9%,8998,48.32,0.37,1.87,21.58,7.56,26.05,2.88
10-19%,2809,46.85,0.14,1.46,20.86,6.51,21.72,2.14
20-29%,4240,45.99,0.05,2.08,18.35,5.66,17.08,0.99
30-39%,1350,38.30,0.37,5.11,8.89,9.85,12.96,0.96
40-49%,523,47.04,0.00,3.82,13.77,8.60,8.80,0.00
50-59%,1002,36.63,0.00,5.19,9.58,7.49,8.38,0.70
60-69%,432,35.19,0.46,11.81,6.02,8.56,8.80,1.16
70-79%,371,33.15,0.00,3.77,15.09,5.93,11.05,1.08
80-89%,276,32.97,1.45,11.59,7.61,7.61,7.97,0.72
90-100%,12,25.00,0.00,8.33,0.00,8.33,0.00,0.00
