Strategy,Total,GradientDescentStrategy,LengthTaintStrategy,ConcolicStrategy,RandomTaintStrategy,RandomStrategy,MagicByteStrategy,OneByteStrategy
0,1440,0.00,3.47,0.14,0.00,8.89,0.00,0.00
1,4648,48.34,0.00,2.35,27.52,8.97,44.13,8.43
2,2181,44.57,0.00,2.02,15.91,4.81,18.34,0.00
3,1134,23.46,0.00,1.94,0.97,5.91,1.32,0.00
4,1980,37.17,0.00,2.47,10.05,5.00,23.59,0.00
5,728,36.68,0.00,1.65,13.05,5.22,14.15,0.00
6,1218,61.25,0.00,2.13,0.41,4.43,0.25,0.00
7,371,24.80,0.00,1.89,0.00,8.36,0.00,0.00
8,2313,73.58,0.00,0.82,68.53,2.16,42.07,0.00
9,500,45.00,0.00,4.80,4.00,6.40,5.40,0.00
10,693,51.37,0.00,4.18,1.15,9.67,0.72,0.00
11,309,39.16,0.00,11.00,0.00,11.65,0.00,0.00
12,370,59.19,0.00,5.14,3.78,9.73,5.14,0.00
13,413,47.22,0.00,5.81,9.93,8.23,2.18,0.00
14,395,42.53,0.00,1.27,0.00,7.09,0.00,0.00
15,151,47.02,0.00,3.97,0.00,11.26,0.00,0.00
16,239,74.48,0.00,10.04,31.38,7.53,2.09,0.00
17,176,48.30,0.00,6.82,1.70,15.91,0.57,0.00
18,128,59.38,0.00,7.81,0.00,20.31,0.00,0.00
19,97,52.58,0.00,3.09,0.00,25.77,0.00,0.00
20,103,64.08,0.00,7.77,12.62,8.74,5.83,0.00
21,48,45.83,0.00,6.25,0.00,29.17,0.00,0.00
22,107,75.70,0.00,8.41,0.00,15.89,0.00,0.00
23,24,54.17,0.00,8.33,0.00,16.67,0.00,0.00
24,25,76.00,0.00,4.00,8.00,16.00,0.00,0.00
25,24,62.50,0.00,20.83,0.00,29.17,0.00,0.00
26,24,66.67,0.00,8.33,0.00,16.67,0.00,0.00
27,21,76.19,0.00,0.00,0.00,42.86,0.00,0.00
28,6,66.67,0.00,0.00,0.00,50.00,0.00,0.00
29,14,57.14,0.00,7.14,0.00,7.14,0.00,0.00
30,5,80.00,0.00,0.00,0.00,0.00,0.00,0.00
31,10,60.00,0.00,10.00,0.00,40.00,0.00,0.00
32,14,78.57,0.00,21.43,0.00,42.86,0.00,0.00
33,18,83.33,0.00,38.89,0.00,38.89,0.00,0.00
34,8,75.00,0.00,12.50,0.00,12.50,0.00,0.00
35,3,33.33,0.00,33.33,0.00,0.00,0.00,0.00
36,14,64.29,0.00,0.00,0.00,21.43,0.00,0.00
37,5,80.00,0.00,20.00,0.00,40.00,0.00,0.00
38,5,40.00,0.00,20.00,0.00,0.00,0.00,0.00
39,2,50.00,0.00,0.00,0.00,0.00,0.00,0.00
41,18,33.33,0.00,44.44,0.00,0.00,0.00,0.00
42,5,80.00,0.00,0.00,0.00,20.00,0.00,0.00
43,3,33.33,0.00,0.00,0.00,0.00,0.00,0.00
46,3,33.33,0.00,33.33,0.00,33.33,0.00,0.00
47,2,50.00,0.00,0.00,0.00,0.00,0.00,0.00
49,4,25.00,0.00,25.00,0.00,0.00,0.00,0.00
50,6,66.67,0.00,0.00,0.00,33.33,0.00,0.00
52,3,66.67,0.00,0.00,0.00,66.67,0.00,0.00
53,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,2,50.00,0.00,0.00,0.00,0.00,0.00,0.00
