Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
GradientDescentStrategy,9113,1440,2210,6011,1150,89
fill_in_0,599,0,0,0,0,0
fill_in_1,56,0,0,0,0,0
arithmatic_1,20,0,0,0,0,0
random,243,0,0,0,0,0
arithmatic_1_0,119,0,0,0,0,0
arithmatic_-1_1,24,0,0,0,0,0
arithmatic_-1_0,6,0,0,0,0,0
arithmatic_0,42,0,0,0,0,0
LengthTaintStrategy,50,19422,64,477,0,0
ConcolicStrategy,536,15117,407,3953,0,0
RandomTaintStrategy,3697,1440,11277,0,3599,0
RandomStrategy,1437,0,255,0,18321,0
MagicByteStrategy,4084,1440,11785,2704,0,0
encoding_ascii_False,6,0,0,0,0,0
arithmatic_-1_False,744,0,0,0,0,0
arithmatic_1_False,476,0,0,0,0,0
fill_in_False,2228,0,0,0,0,0
zero_False,279,0,0,0,0,0
arithmatic_1_True,29,0,0,0,0,0
fill_in_True,313,0,0,0,0,0
encoding_hex_False,3,0,0,0,0,0
zero_True,6,0,0,0,0,0
OneByteStrategy,392,19346,5,270,0,0
Angora,10096,0,0,0,0,0
