Strategy,TOTAL,RandomTaintStrategy,RandomStrategy,MagicByteStrategy,GradientDescentStrategy,ConcolicStrategy,OneByteStrategy,LengthTaintStrategy
0-9%,6170,44.33,49.81,39.06,42.46,0.00,39.08,5.28
10-19%,267,26.59,32.21,14.61,24.72,0.00,16.85,5.62
20-29%,262,26.34,29.77,16.79,25.95,0.00,16.79,3.44
30-39%,87,39.08,20.69,27.59,33.33,0.00,32.18,0.00
40-49%,328,38.41,30.18,29.57,36.89,0.00,29.57,9.15
50-59%,2465,35.86,23.65,26.53,33.87,0.00,27.06,6.73
60-69%,506,40.32,20.95,32.02,38.14,0.00,35.57,5.14
70-79%,53,37.74,24.53,28.30,30.19,0.00,37.74,0.00
80-89%,201,25.87,25.87,13.43,25.37,0.00,12.44,6.47
90-100%,775,28.26,26.71,17.03,29.55,0.00,16.77,6.32
