Strategy,Total,RandomTaintStrategy,RandomStrategy,MagicByteStrategy,GradientDescentStrategy,ConcolicStrategy,OneByteStrategy,LengthTaintStrategy
0,6136,0.00,32.79,0.00,0.00,0.00,0.00,10.33
1,3931,92.62,47.44,87.28,89.52,0.00,92.78,0.00
2,523,95.03,51.05,26.96,81.07,0.00,0.00,0.00
3,236,93.22,27.12,3.81,81.36,0.00,0.00,0.00
4,63,46.03,20.63,19.05,22.22,0.00,0.00,0.00
5,16,62.50,68.75,25.00,50.00,0.00,0.00,0.00
6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,38,28.95,23.68,2.63,5.26,0.00,0.00,0.00
8,2,50.00,50.00,0.00,0.00,0.00,0.00,0.00
10,4,0.00,50.00,25.00,25.00,0.00,0.00,0.00
11,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,9,33.33,44.44,22.22,33.33,0.00,0.00,0.00
13,1,100.00,100.00,100.00,100.00,0.00,0.00,0.00
14,2,50.00,50.00,50.00,50.00,0.00,0.00,0.00
16,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00
19,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00
44,5,0.00,40.00,20.00,60.00,0.00,0.00,0.00
52,28,0.00,32.14,0.00,21.43,0.00,0.00,0.00
53,12,0.00,16.67,0.00,25.00,0.00,0.00,0.00
56,24,0.00,29.17,0.00,25.00,0.00,0.00,0.00
57,2,0.00,50.00,0.00,100.00,0.00,0.00,0.00
59,5,0.00,20.00,0.00,20.00,0.00,0.00,0.00
61,4,0.00,50.00,0.00,50.00,0.00,0.00,0.00
67,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
70,2,0.00,100.00,0.00,100.00,0.00,0.00,0.00
71,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
91,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
101,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
109,2,0.00,100.00,0.00,100.00,0.00,0.00,0.00
112,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
113,8,0.00,62.50,0.00,75.00,0.00,0.00,0.00
116,18,0.00,66.67,0.00,66.67,0.00,0.00,0.00
119,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
120,5,0.00,60.00,0.00,60.00,0.00,0.00,0.00
121,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
125,1,0.00,100.00,0.00,100.00,0.00,0.00,0.00
127,8,0.00,25.00,0.00,25.00,0.00,0.00,0.00
131,5,0.00,100.00,0.00,100.00,0.00,0.00,0.00
