Strategy,FLIPPED_CONDITION,NOT_TRIED,MISSED_ALL_TRIES,NOT_FLIPPED,MAXIMUM_NUMBER_OF_INPUTS_REACHED,MAXIMUM_EXECUTION_TIME_REACHED
RandomTaintStrategy,4414,6136,0,0,564,0
RandomStrategy,4315,0,0,0,6799,0
MagicByteStrategy,3604,6136,1007,367,0,0
encoding_hex_True,1,0,0,0,0,0
arithmatic_-1_False,97,0,0,0,0,0
arithmatic_1_False,1296,0,0,0,0,0
arithmatic_1_True,4,0,0,0,0,0
encoding_ascii_False,72,0,0,0,0,0
arithmatic_-1_True,2,0,0,0,0,0
encoding_hex_False,21,0,0,0,0,0
fill_in_True,2,0,0,0,0,0
fill_in_False,2109,0,0,0,0,0
GradientDescentStrategy,4228,6136,56,444,250,0
fill_in_1,4,0,0,0,0,0
arithmatic_1_0,13,0,0,0,0,0
fill_in_0,625,0,0,0,0,0
random,121,0,0,0,0,0
ConcolicStrategy,0,11114,0,0,0,0
OneByteStrategy,3647,7192,0,275,0,0
LengthTaintStrategy,634,8049,4,2427,0,0
Angora,8630,0,0,0,0,0
